Player.Name,Round,tee_time,hour
Dustin Johnson,1,1900-01-01 09:48:00,948
Hideki Matsuyama,1,1900-01-01 05:09:00,509
Jordan Spieth,1,1900-01-01 04:47:00,447
Rory McIlroy,1,1900-01-01 09:48:00,948
Sergio Garcia,1,1900-01-01 08:04:00,804
Jason Day,1,1900-01-01 08:04:00,804
Jon Rahm,1,1900-01-01 09:59:00,959
Henrik Stenson,1,1900-01-01 04:47:00,447
Alexander Noren,1,1900-01-01 03:03:00,303
Rickie Fowler,1,1900-01-01 08:26:00,826
Brooks Koepka,1,1900-01-01 05:09:00,509
Justin Rose,1,1900-01-01 04:58:00,458
Justin Thomas,1,1900-01-01 04:58:00,458
Tommy Fleetwood,1,1900-01-01 05:09:00,509
Adam Scott,1,1900-01-01 08:26:00,826
Paul Casey,1,1900-01-01 08:26:00,826
Rafa Cabrera Bello,1,1900-01-01 10:21:00,1021
Matt Kuchar,1,1900-01-01 08:37:00,837
Francesco Molinari,1,1900-01-01 10:10:00,1010
Daniel Berger,1,1900-01-01 09:26:00,926
Charl Schwartzel,1,1900-01-01 09:48:00,948
Patrick Reed,1,1900-01-01 09:59:00,959
Louis Oosthuizen,1,1900-01-01 04:58:00,458
Tyrrell Hatton,1,1900-01-01 07:53:00,753
Kevin Kisner,1,1900-01-01 08:48:00,848
Phil Mickelson,1,1900-01-01 10:10:00,1010
Brian Harman,1,1900-01-01 07:31:00,731
Kevin Chappell,1,1900-01-01 09:37:00,937
Bernd Wiesberger,1,1900-01-01 07:42:00,742
Thomas Pieters,1,1900-01-01 04:36:00,436
Jason Dufner,1,1900-01-01 02:52:00,252
Si-Woo Kim,1,1900-01-01 04:47:00,447
Brandt Snedeker,1,1900-01-01 05:20:00,520
Marc Leishman,1,1900-01-01 10:10:00,1010
Branden Grace,1,1900-01-01 02:52:00,252
Wesley Bryan,1,1900-01-01 04:14:00,414
Bill Haas,1,1900-01-01 07:20:00,720
Jimmy Walker,1,1900-01-01 09:04:00,904
Charley Hoffman,1,1900-01-01 08:48:00,848
Matthew Fitzpatrick,1,1900-01-01 02:41:00,241
Danny Willett,1,1900-01-01 02:30:00,230
Pat Perez,1,1900-01-01 04:36:00,436
Ross Fisher,1,1900-01-01 07:42:00,742
Ryan Moore,1,1900-01-01 01:35:00,135
Billy Horschel,1,1900-01-01 02:30:00,230
Emiliano Grillo,1,1900-01-01 02:41:00,241
Russell Knox,1,1900-01-01 03:03:00,303
Gary Woodland,1,1900-01-01 04:25:00,425
Bubba Watson,1,1900-01-01 10:21:00,1021
Hideto Tanihara,1,1900-01-01 09:04:00,904
Brendan Steele,1,1900-01-01 04:03:00,403
J.B. Holmes,1,1900-01-01 05:20:00,520
Russell Henley,1,1900-01-01 03:47:00,347
Adam Hadwin,1,1900-01-01 06:36:00,636
Charles Howell III,1,1900-01-01 03:36:00,336
William McGirt,1,1900-01-01 06:58:00,658
Lee Westwood,1,1900-01-01 09:59:00,959
Kyle Stanley,1,1900-01-01 10:32:00,1032
Webb Simpson,1,1900-01-01 04:03:00,403
Byeong Hun An,1,1900-01-01 02:19:00,219
Martin Kaymer,1,1900-01-01 07:53:00,753
Yuta Ikeda,1,1900-01-01 09:26:00,926
Chris Wood,1,1900-01-01 01:35:00,135
Tony Finau,1,1900-01-01 05:53:00,553
Jeung-Hun Wang,1,1900-01-01 01:57:00,157
Andy Sullivan,1,1900-01-01 08:15:00,815
Anirban Lahiri,1,1900-01-01 04:14:00,414
Kevin Na,1,1900-01-01 10:32:00,1032
Zach Johnson,1,1900-01-01 08:04:00,804
Shane Lowry,1,1900-01-01 05:20:00,520
Jhonattan Vegas,1,1900-01-01 09:15:00,915
Sean O'Hair,1,1900-01-01 09:15:00,915
Steve Stricker,1,1900-01-01 02:41:00,241
Soren Kjeldsen,1,1900-01-01 02:30:00,230
Ian Poulter,1,1900-01-01 03:03:00,303
Alexander Levy,1,1900-01-01 04:03:00,403
Joost Luiten,1,1900-01-01 08:15:00,815
Bryson DeChambeau,1,1900-01-01 02:52:00,252
Dylan Frittelli,1,1900-01-01 03:25:00,325
Thorbjorn Olesen,1,1900-01-01 09:04:00,904
Xander Schauffele,1,1900-01-01 10:43:00,1043
Jamie Lovemark,1,1900-01-01 06:58:00,658
Sunghoon Kang,1,1900-01-01 05:53:00,553
Peter Uihlein,1,1900-01-01 03:47:00,347
Martin Laird,1,1900-01-01 07:31:00,731
Brandon Stone,1,1900-01-01 09:15:00,915
Ryan Fox,1,1900-01-01 08:37:00,837
Fabrizio Zanotti,1,1900-01-01 03:47:00,347
Thongchai Jaidee,1,1900-01-01 02:08:00,208
Pablo Larrazabal,1,1900-01-01 09:26:00,926
Kyung-Tae Kim,1,1900-01-01 03:14:00,314
Scott Hend,1,1900-01-01 10:21:00,1021
Hao-Tong Li,1,1900-01-01 10:54:00,1054
Michael Hendry,1,1900-01-01 07:31:00,731
Andrew Johnston,1,1900-01-01 06:36:00,636
Young-Han Song,1,1900-01-01 03:25:00,325
David Lipsky,1,1900-01-01 08:15:00,815
David Horsey,1,1900-01-01 03:25:00,325
Yusaku Miyazato,1,1900-01-01 09:37:00,937
Roberto Castro,1,1900-01-01 02:08:00,208
Matthieu Pavon,1,1900-01-01 05:53:00,553
Padraig Harrington,1,1900-01-01 04:36:00,436
Robert Streb,1,1900-01-01 06:04:00,604
Richard Bland,1,1900-01-01 05:31:00,531
Michael Lorenzo-Vera,1,1900-01-01 03:36:00,336
Aaron Baddeley,1,1900-01-01 07:53:00,753
Andrew Dodt,1,1900-01-01 10:43:00,1043
Callum Shinkwin,1,1900-01-01 07:20:00,720
Cameron Smith,1,1900-01-01 07:20:00,720
Richie Ramsay,1,1900-01-01 08:37:00,837
Chan Kim,1,1900-01-01 05:42:00,542
Stewart Cink,1,1900-01-01 01:57:00,157
Matthew Southgate,1,1900-01-01 07:09:00,709
Phachara Khongwatmai,1,1900-01-01 01:46:00,146
Jbe Kruger,1,1900-01-01 11:05:00,1105
Prayad Marksaeng,1,1900-01-01 03:14:00,314
Julian Suri,1,1900-01-01 06:15:00,615
Darren Fichardt,1,1900-01-01 02:19:00,219
Paul Waring,1,1900-01-01 10:32:00,1032
David Drysdale,1,1900-01-01 08:48:00,848
Sebastian Munoz,1,1900-01-01 11:16:00,1116
Shaun Norris,1,1900-01-01 05:31:00,531
Adam Bland,1,1900-01-01 06:47:00,647
Shiv Kapur,1,1900-01-01 03:36:00,336
Paul Lawrie,1,1900-01-01 09:37:00,937
Ashley Hall,1,1900-01-01 11:05:00,1105
Ernie Els,1,1900-01-01 07:42:00,742
Matthew Griffin,1,1900-01-01 07:09:00,709
Stuart Manley,1,1900-01-01 01:46:00,146
Austin Connelly,1,1900-01-01 07:09:00,709
Toby Tree,1,1900-01-01 06:58:00,658
Kent Bulle,1,1900-01-01 10:54:00,1054
Robert Dinwiddie,1,1900-01-01 06:15:00,615
Laurie Canter,1,1900-01-01 11:16:00,1116
Alexander Bjork,1,1900-01-01 06:04:00,604
Paul A. Broadhurst,1,1900-01-01 02:08:00,208
Yikeun Chang,1,1900-01-01 05:42:00,542
Luca Cianchetti,1,1900-01-01 05:31:00,531
Darren Clarke,1,1900-01-01 04:25:00,425
John Daly,1,1900-01-01 06:47:00,647
Joe Dean,1,1900-01-01 06:04:00,604
David Duval,1,1900-01-01 03:14:00,314
Harry Ellis,1,1900-01-01 04:25:00,425
Mark Foster,1,1900-01-01 05:42:00,542
Todd Hamilton,1,1900-01-01 06:36:00,636
Adam Hodkinson,1,1900-01-01 06:15:00,615
Giwhan Kim,1,1900-01-01 10:43:00,1043
Tom Lehman,1,1900-01-01 02:19:00,219
Sandy Lyle,1,1900-01-01 01:57:00,157
Nick McCarthy,1,1900-01-01 11:05:00,1105
Ryan McCarthy,1,1900-01-01 11:16:00,1116
Haydn McCullen,1,1900-01-01 10:54:00,1054
Maverick McNealy,1,1900-01-01 01:46:00,146
Mark O'Meara,1,1900-01-01 01:35:00,135
Alfie Plant,1,1900-01-01 04:14:00,414
Connor Syme,1,1900-01-01 06:47:00,647
